ParkName,CampType,CampCount
Wupatki NM,Backcountry,8
Yellowstone NP,Tent,"101,639"
Yellowstone NP,RV,"68,991"
Yellowstone NP,Backcountry,"44,663"
Yosemite NP,Tent,"490,431"
Yosemite NP,RV,"376,744"
Yosemite NP,Backcountry,"216,989"
Yukon-Charley Rivers NPRES,Tent,0
Yukon-Charley Rivers NPRES,RV,0
Yukon-Charley Rivers NPRES,Backcountry,"3,063"
Zion NP,Tent,"137,442"
Zion NP,RV,"70,728"
Zion NP,Backcountry,"28,248"
